"//<---- MercadoEnvios---->","//<---- MercadoEnvios---->"

"MercadoEnvios - Configuration","MercadoEnvios - Configuración"
"Parameter docType can not be null/empty", "Ingresa un tipo de documento válido"
"Invalid Document Type", "Ingresa un tipo de documento válido"
"Parameter docNumber can not be null/empty", "Ingresa un documento válido"
"Invalid Document Number", "Ingresa un documento válido"
"The parameter cardholder.document.subtype can not be null or empty", "Ingresa un tipo de documento válido"
"Invalid Document Sub Type", "Ingresa un tipo de documento válido"
"Parameter cardIssuerId can not be null/empty", "Ingresa un banco válido"

"Onestepcheckout Active","Tiene OneStepCheckout activo?"
"Calculate Financing Cost","Mostrar los valores pagados de parcelamiento por el comprador"
"Time between verifications","Tiempo entre las validaciones"
"Interval","Intervalo"
"Refund Available","Habilitar la devolución de pagos"
"Maximum amount of partial refunds on the same order","Límite de veces para devolver parcialmente un valor"
"It must be a number between 1 and 20","Elija un valor entre 1 y 20"
"Maximum amount of days until refund is not accepted","Límite de días para no aceptar la devolución"
"It must be a number between 1 and 90","Elige un valor entre 1 y 90"
"Choose the status when payment was partially refunded","Elija el estado de los pedidos para pagos Devueltos Parcialmente"
"Enable Mercado Pago Installments Calculator","Habilitar Calculadora de Cuotas de Mercado Pago"
"Show Calculator on selected pages","Mostrar la calculadora de cuotas en las páginas"
"Enable logs to analyse plugin activity","Habilite para analizar los errores en el frontend del módulo"
"Enable to display actual error messages to frontend users (not recommended on production environment)","Habilite para mostrar los errores que ocurren para el usuario en el frontend (no es recomendado para el entorno productivo)"
"Version Module","Versión del Módulo"
"Statement Descriptor","Identificación en la factura"
"Binary Mode","Modo Binario"
"Marketing - Coupon Mercado Pago","Marketing - Cupón Mercado Pago"
"Custom Message","Mensaje personalizado"

"Date of Expiration", "Días para la Expiración"
"This functionality handles the expiration date of the ticket, it does not automatically cancel the payment. Enter a value between 1 and 29.", "Esta funcionalidad manipula la fecha expiración del ticket, NO se cancela o paga de forma automatica. Introduzca un valor entre 1 y 29."

"================================Versão 2.10.0================================", "================================Versão 2.10.0================================"

"Bank", "Banco"
"Type of Person", "Tipo de persona"
"Transfer", "Transferir"
"You have 20 minutes to do it.", "Tienes 20 minutos para hacerlo."
"The payment will be credited instantly.", "El pago se acreditará al instante."

"================================Versão 2.11.1================================", "================================Versão 2.11.1================================"
"Use State","Usa el estado"
"Automatically fill in the State set up in the buyer's account. This function is not accurate if you use some checkout modules.","Rellene automáticamente el estado configurado en la cuenta del comprador. Esta función no es precisa si utiliza algunos módulos de pago."

"================================Versão 2.13.0================================", "================================Versão 2.13.0================================"
"There are no payment methods available, please contact the store to see what is happening.","No hay métodos de pago disponibles, entre en contacto con la tienda para analizar lo que está ocurriendo."
